mx,my,mz
-19.8,-49.05,122.25
-18.6,-48.0,122.7
-19.8,-47.7,123.3
-17.25,-49.95,123.15
-17.85,-47.25,123.75
-18.9,-48.15,122.85
-18.9,-48.15,122.85
-17.7,-47.85,123.15
-19.65,-47.1,123.6
-19.65,-47.1,123.6
-17.25,-47.85,124.2
-17.25,-47.85,122.85
-18.3,-48.75,123.3
-18.3,-48.75,123.3
-18.3,-47.25,122.7
-16.35,-48.0,122.7
-17.85,-47.25,121.95
-18.6,-49.5,123.3
-18.6,-46.95,123.0
-17.85,-46.65,122.25
-18.6,-48.0,124.05
-18.3,-48.0,122.25
-16.2,-47.85,122.85
-18.3,-47.7,123.0
-17.25,-47.1,122.85
-4.35,-43.95,114.15
-4.35,-42.15,114.9
-3.75,-42.75,113.55
-2.55,-42.75,113.55
-3.75,-42.3,114.0
-4.5,-42.0,115.8
-3.9,-41.85,114.9
-4.2,-42.0,115.8
-5.1,-42.45,114.15
-4.5,-43.8,115.8
-4.5,-41.55,114.0
-4.5,-41.55,114.0
-4.5,-43.35,115.05
-3.9,-41.85,115.2
-4.95,-43.35,114.75
-4.2,-42.75,113.25
-3.9,-41.4,113.4
-3.9,-41.85,114.15
-3.75,-41.55,114.0
-4.65,-42.15,114.45
-3.6,-41.85,115.65
-5.4,-42.45,114.9
-4.35,-42.45,115.2
-4.95,-42.75,114.3
-4.95,-42.75,114.3
-5.25,-42.75,113.25
-3.3,-42.0,112.2
-4.2,-44.4,114.0
-4.2,-42.0,114.3
-5.4,-40.35,116.4
-5.1,-42.45,114.9
-6.45,-41.55,114.0
-5.1,-42.9,114.9
-5.4,-42.9,115.2
-5.4,-41.85,114.9
-4.95,-41.55,114.3
-3.9,-42.45,115.2
-4.95,-42.0,115.05
-5.4,-41.1,113.85
-3.9,-41.1,115.65
-5.85,-41.85,113.4
-5.85,-41.85,113.4
-4.35,-43.95,114.45
-3.9,-42.15,113.85
-5.25,-43.05,115.05
-5.25,-43.05,115.05
-4.35,-41.4,114.45
-4.95,-43.8,114.75
-3.75,-41.55,115.05
-5.25,-41.25,115.05
-3.9,-43.5,114.45
-3.75,-42.0,116.85
-5.1,-43.2,114.45
-5.4,-42.9,114.9
-5.1,-41.85,114.15
-4.5,-42.3,114.0
-5.25,-42.0,112.95
-3.9,-42.15,113.85
-4.65,-43.5,113.85
-6.45,-41.55,114.3
-4.5,-42.75,115.05
-5.7,-41.55,115.8
-5.7,-43.35,114.75
-5.7,-42.3,115.5
-4.95,-43.05,113.55
-4.2,-42.3,116.1
-5.1,-41.4,114.45
-4.65,-43.05,115.8
-4.65,-42.45,114.45
-5.4,-42.9,115.95
-4.5,-42.75,114.3
-5.25,-42.3,116.1
-4.2,-42.3,114.75
-4.2,-42.3,114.75
-5.4,-42.9,115.2
-5.1,-42.15,114.15
-4.5,-42.3,113.25
-4.5,-42.3,113.25
-4.95,-42.3,114.0
-5.4,-43.2,114.9
-4.2,-42.75,115.8
-5.1,-42.15,114.15
-4.65,-41.85,114.9
-5.1,-41.85,114.9
-4.95,-43.35,116.55
-5.85,-42.9,113.1
-4.35,-42.45,114.9
-5.25,-42.3,116.1
-5.85,-42.45,115.65
-6.45,-43.35,114.3
-4.65,-41.4,113.85
-4.65,-41.85,114.45
-5.25,-42.0,114.75
-5.25,-43.05,114.3
-6.0,-42.75,114.3
-4.65,-42.45,115.2
-5.1,-43.2,114.9
-5.7,-44.4,114.3
-5.7,-44.4,114.3
-4.5,-42.3,112.95
-5.4,-42.45,114.15
-4.2,-42.75,114.75
-5.85,-41.85,115.2
-6.0,-42.3,113.55
-4.65,-42.9,114.15
-6.45,-42.0,114.3
-5.7,-42.75,114.75
-6.75,-43.35,115.8
-6.0,-42.0,115.05
-5.7,-42.75,114.75
-5.7,-42.3,112.95
-5.7,-42.3,112.95
-5.25,-41.55,115.8
-5.85,-41.85,115.65
-6.75,-42.75,115.8
-5.85,-41.85,114.15
-6.3,-41.85,114.45
-6.75,-43.05,115.5
-7.05,-43.2,116.4
-7.05,-43.2,116.4
-5.25,-43.8,116.85
-6.3,-41.4,116.7
-7.05,-41.4,115.65
-8.1,-42.45,114.9
-6.6,-42.9,115.2
-6.6,-42.15,115.2
-5.85,-41.85,114.9
-4.95,-43.05,114.75
-6.3,-41.85,114.45
-7.2,-44.1,113.25
-4.95,-43.05,115.5
-6.3,-41.4,114.9
-6.3,-41.4,114.9
-6.6,-42.9,114.45
-4.65,-42.9,115.65
-5.4,-42.15,113.1
-5.85,-42.45,114.45
-4.95,-41.55,116.1
-6.45,-42.3,114.0
-6.3,-40.65,113.85
-5.85,-42.15,115.2
-6.75,-43.05,114.0
-6.45,-42.75,115.05
-7.95,-41.55,114.0
-6.6,-42.15,114.9
-5.7,-42.0,112.95
-6.3,-43.2,114.15
-6.0,-42.0,115.05
-6.0,-41.55,113.55
-5.4,-42.45,114.9
-5.85,-42.15,115.95
-5.85,-43.2,116.7
-5.7,-42.0,115.05
-5.7,-42.0,115.05
-6.6,-40.65,114.45
-5.4,-42.9,114.9
-6.6,-43.5,115.65
-6.0,-42.3,113.25
-6.45,-42.0,115.05
-5.4,-42.45,114.45
-6.45,-41.55,115.5
-6.45,-41.55,115.5
-7.35,-42.9,114.15
-4.65,-42.15,115.65
-7.95,-42.75,115.05
-8.1,-43.2,116.7
-5.4,-41.4,116.7
-7.5,-41.55,115.05
-6.45,-43.05,113.25
-6.45,-43.8,114.3
-5.25,-42.0,115.05
-5.7,-43.35,114.75
-7.35,-41.85,113.85
-6.0,-43.05,112.5
-6.0,-43.05,112.5
-6.6,-42.15,114.9
-6.45,-42.0,115.5
-5.1,-41.1,114.15
-7.35,-42.45,113.85
-5.85,-42.45,114.9
-6.6,-42.9,115.2
-5.7,-43.05,115.5
-6.6,-42.15,115.65
-6.0,-42.75,115.5
-5.25,-43.05,114.3
-5.4,-42.45,115.95
-7.05,-43.5,115.2
-7.8,-42.9,114.15
-5.7,-42.0,112.5
-5.85,-42.45,115.65
-7.2,-43.05,114.3
-7.2,-43.05,114.3
-7.05,-43.2,115.2
-7.05,-43.5,113.85
-6.75,-43.35,115.05
-6.75,-43.35,115.05
-8.55,-41.85,114.9
-7.95,-43.05,115.8
-9.3,-41.4,113.85
-8.55,-42.9,115.2
-9.45,-42.75,114.75
-9.15,-42.3,115.5
-9.45,-42.0,114.0
-10.5,-43.2,114.9
-10.5,-42.15,115.2
-11.4,-42.3,115.5
-10.65,-42.3,115.05
-11.7,-44.1,114.75
-13.05,-43.2,114.9
-13.35,-44.1,114.75
-12.0,-41.85,115.95
-13.5,-42.15,114.15
-12.75,-43.5,115.2
-13.65,-42.3,114.75
-14.1,-43.35,114.75
-14.25,-42.9,114.9
-14.25,-42.9,114.9
-13.05,-42.9,115.2
-14.25,-42.45,113.85
-14.4,-41.55,113.55
-14.25,-42.15,116.4
-14.4,-42.3,114.0
-14.7,-41.85,114.9
-12.6,-42.3,113.25
-14.4,-42.75,114.75
-14.25,-41.4,113.85
-15.45,-42.45,114.45
-15.45,-43.2,113.85
-15.45,-42.15,114.9
-13.8,-42.9,114.45
-14.7,-42.45,114.45
-12.75,-42.9,114.15
-12.15,-43.05,114.3
-11.25,-42.9,115.95
-10.65,-43.8,114.0
-10.2,-43.35,114.0
-10.5,-43.95,113.4
-10.5,-43.95,113.4
-9.6,-43.2,112.35
-8.85,-44.25,114.45
-8.4,-42.75,114.0
-8.4,-42.75,114.0
-10.65,-43.8,114.75
